case,completeTime,event,b0,b1,b2,b3,b4,b5,b6
8,2692,0000100,0,0,0,0,1,0,0
8,2910,0001000,0,0,0,1,0,0,0
8,3196,1000000,1,0,0,0,0,0,0
8,3347,0100000,0,1,0,0,0,0,0
9,2367,0000001,0,0,0,0,0,0,1
9,2716,0000010,0,0,0,0,0,1,0
9,3313,0000100,0,0,0,0,1,0,0
9,3805,0001000,0,0,0,1,0,0,0
9,4190,1000000,1,0,0,0,0,0,0
9,4517,0100000,0,1,0,0,0,0,0
10,2490,0000001,0,0,0,0,0,0,1
10,2708,0000010,0,0,0,0,0,1,0
10,2841,0000100,0,0,0,0,1,0,0
10,3018,0001000,0,0,0,1,0,0,0
10,3481,1000000,1,0,0,0,0,0,0
10,3611,0100000,0,1,0,0,0,0,0
11,2584,0000001,0,0,0,0,0,0,1
11,3150,0000010,0,0,0,0,0,1,0
11,3438,0000100,0,0,0,0,1,0,0
11,3784,0001000,0,0,0,1,0,0,0
11,4315,1000000,1,0,0,0,0,0,0
11,4573,0100000,0,1,0,0,0,0,0
12,2783,0000001,0,0,0,0,0,0,1
12,3085,0000010,0,0,0,0,0,1,0
12,3594,0000100,0,0,0,0,1,0,0
12,3848,0001000,0,0,0,1,0,0,0
12,4166,1000000,1,0,0,0,0,0,0
12,4330,0100000,0,1,0,0,0,0,0
13,3252,0000001,0,0,0,0,0,0,1
13,3555,0000010,0,0,0,0,0,1,0
13,4009,0000100,0,0,0,0,1,0,0
13,4096,0001000,0,0,0,1,0,0,0
13,4345,1000000,1,0,0,0,0,0,0
13,4474,0100000,0,1,0,0,0,0,0
14,3445,0000001,0,0,0,0,0,0,1
14,3455,0000010,0,0,0,0,0,1,0
14,3698,0000100,0,0,0,0,1,0,0
14,3967,0001000,0,0,0,1,0,0,0
14,4205,1000000,1,0,0,0,0,0,0
14,4327,0100000,0,1,0,0,0,0,0
15,3695,0000001,0,0,0,0,0,0,1
15,3955,0000010,0,0,0,0,0,1,0
15,4104,0000100,0,0,0,0,1,0,0
15,4163,0001000,0,0,0,1,0,0,0
15,4682,1000000,1,0,0,0,0,0,0
15,5136,0100000,0,1,0,0,0,0,0
16,4169,0000001,0,0,0,0,0,0,1
16,4536,0000010,0,0,0,0,0,1,0
16,4833,0000100,0,0,0,0,1,0,0
16,5040,0001000,0,0,0,1,0,0,0
16,5342,1000000,1,0,0,0,0,0,0
16,5891,0100000,0,1,0,0,0,0,0
17,4271,0000001,0,0,0,0,0,0,1
17,4491,0000010,0,0,0,0,0,1,0
17,4914,0000100,0,0,0,0,1,0,0
17,5117,0001000,0,0,0,1,0,0,0
17,5669,1000000,1,0,0,0,0,0,0
17,6239,0100000,0,1,0,0,0,0,0
18,4648,0000001,0,0,0,0,0,0,1
18,5219,0000010,0,0,0,0,0,1,0
18,5527,0000100,0,0,0,0,1,0,0
18,5670,0001000,0,0,0,1,0,0,0
18,5902,1000000,1,0,0,0,0,0,0
18,6047,0100000,0,1,0,0,0,0,0
19,5164,0000001,0,0,0,0,0,0,1
19,5204,0000010,0,0,0,0,0,1,0
19,5471,0000100,0,0,0,0,1,0,0
19,5917,0001000,0,0,0,1,0,0,0
19,6421,1000000,1,0,0,0,0,0,0
19,6968,0100000,0,1,0,0,0,0,0
20,5468,0000001,0,0,0,0,0,0,1
20,5984,0000010,0,0,0,0,0,1,0
20,6280,0000100,0,0,0,0,1,0,0
20,6313,0001000,0,0,0,1,0,0,0
20,6347,1000000,1,0,0,0,0,0,0
20,6501,0100000,0,1,0,0,0,0,0
21,5612,0000001,0,0,0,0,0,0,1
21,5878,0000010,0,0,0,0,0,1,0
21,6251,0000100,0,0,0,0,1,0,0
21,6812,0001000,0,0,0,1,0,0,0
21,6872,1000000,1,0,0,0,0,0,0
21,6965,0100000,0,1,0,0,0,0,0
22,5752,0000001,0,0,0,0,0,0,1
22,6195,0000010,0,0,0,0,0,1,0
22,6300,0000100,0,0,0,0,1,0,0
22,6451,0001000,0,0,0,1,0,0,0
22,6594,1000000,1,0,0,0,0,0,0
22,6866,0100000,0,1,0,0,0,0,0
23,6350,0000001,0,0,0,0,0,0,1
23,6774,0000010,0,0,0,0,0,1,0
23,6946,0000100,0,0,0,0,1,0,0
23,7282,0001000,0,0,0,1,0,0,0
23,7602,1000000,1,0,0,0,0,0,0
23,7654,0100000,0,1,0,0,0,0,0
24,6501,0000001,0,0,0,0,0,0,1
24,6568,0000010,0,0,0,0,0,1,0
24,7156,0000100,0,0,0,0,1,0,0
24,7261,0001000,0,0,0,1,0,0,0
24,7334,1000000,1,0,0,0,0,0,0
24,7518,0100000,0,1,0,0,0,0,0
25,6652,0000001,0,0,0,0,0,0,1
25,7119,0000010,0,0,0,0,0,1,0
25,7518,0000100,0,0,0,0,1,0,0
25,7661,0001000,0,0,0,1,0,0,0
25,8152,1000000,1,0,0,0,0,0,0
25,8542,0100000,0,1,0,0,0,0,0
26,7221,0000001,0,0,0,0,0,0,1
26,7298,0000010,0,0,0,0,0,1,0
26,7857,0000100,0,0,0,0,1,0,0
26,7986,0001000,0,0,0,1,0,0,0
26,8496,1000000,1,0,0,0,0,0,0
26,8950,0100000,0,1,0,0,0,0,0
27,7620,0000001,0,0,0,0,0,0,1
27,7767,0000010,0,0,0,0,0,1,0
27,7894,0000100,0,0,0,0,1,0,0
27,8219,0001000,0,0,0,1,0,0,0
27,8618,1000000,1,0,0,0,0,0,0
27,9138,0100000,0,1,0,0,0,0,0
28,8059,0000001,0,0,0,0,0,0,1
28,8096,0000010,0,0,0,0,0,1,0
28,8186,0000100,0,0,0,0,1,0,0
28,8691,0001000,0,0,0,1,0,0,0
28,9013,1000000,1,0,0,0,0,0,0
28,9022,0100000,0,1,0,0,0,0,0
29,8116,0000001,0,0,0,0,0,0,1
29,8389,0000010,0,0,0,0,0,1,0
29,8419,0000100,0,0,0,0,1,0,0
29,8511,0001000,0,0,0,1,0,0,0
29,9002,1000000,1,0,0,0,0,0,0
29,9373,0100000,0,1,0,0,0,0,0
30,8157,0000001,0,0,0,0,0,0,1
30,8719,0000010,0,0,0,0,0,1,0
30,8868,0000100,0,0,0,0,1,0,0
30,9035,0001000,0,0,0,1,0,0,0
30,9101,1000000,1,0,0,0,0,0,0
30,9630,0100000,0,1,0,0,0,0,0
31,8614,0000001,0,0,0,0,0,0,1
31,8797,0000010,0,0,0,0,0,1,0
31,8932,0000100,0,0,0,0,1,0,0
31,9370,0001000,0,0,0,1,0,0,0
31,9899,1000000,1,0,0,0,0,0,0
31,10414,0100000,0,1,0,0,0,0,0
32,8741,0000001,0,0,0,0,0,0,1
32,9336,0000010,0,0,0,0,0,1,0
32,9703,0000100,0,0,0,0,1,0,0
32,10274,0001000,0,0,0,1,0,0,0
32,10334,1000000,1,0,0,0,0,0,0
32,10862,0100000,0,1,0,0,0,0,0
33,9106,0000001,0,0,0,0,0,0,1
33,9388,0000010,0,0,0,0,0,1,0
33,9586,0000100,0,0,0,0,1,0,0
33,9730,0001000,0,0,0,1,0,0,0
33,9821,1000000,1,0,0,0,0,0,0
33,9957,0100000,0,1,0,0,0,0,0
34,9296,0000001,0,0,0,0,0,0,1
34,9810,0000010,0,0,0,0,0,1,0
34,9879,0000100,0,0,0,0,1,0,0
34,10207,0001000,0,0,0,1,0,0,0
34,10646,1000000,1,0,0,0,0,0,0
34,10905,0100000,0,1,0,0,0,0,0
35,9430,0000001,0,0,0,0,0,0,1
35,9626,0000010,0,0,0,0,0,1,0
35,9700,0000100,0,0,0,0,1,0,0
35,10105,0001000,0,0,0,1,0,0,0
35,10275,1000000,1,0,0,0,0,0,0
35,10708,0100000,0,1,0,0,0,0,0
36,9919,0000001,0,0,0,0,0,0,1
36,10188,0000010,0,0,0,0,0,1,0
36,10502,0000100,0,0,0,0,1,0,0
36,11098,0001000,0,0,0,1,0,0,0
36,11408,1000000,1,0,0,0,0,0,0
36,11711,0100000,0,1,0,0,0,0,0
37,10281,0000001,0,0,0,0,0,0,1
37,10802,0000010,0,0,0,0,0,1,0
37,10911,0000100,0,0,0,0,1,0,0
37,11050,0001000,0,0,0,1,0,0,0
37,11485,1000000,1,0,0,0,0,0,0
37,11880,0100000,0,1,0,0,0,0,0
38,10467,0000001,0,0,0,0,0,0,1
38,10492,0000010,0,0,0,0,0,1,0
38,10793,0000100,0,0,0,0,1,0,0
38,11098,0001000,0,0,0,1,0,0,0
38,11413,1000000,1,0,0,0,0,0,0
38,11600,0100000,0,1,0,0,0,0,0
39,10545,0000001,0,0,0,0,0,0,1
39,10675,0000010,0,0,0,0,0,1,0
39,10883,0000100,0,0,0,0,1,0,0
39,11109,0001000,0,0,0,1,0,0,0
39,11320,1000000,1,0,0,0,0,0,0
39,11561,0100000,0,1,0,0,0,0,0
40,10673,0000001,0,0,0,0,0,0,1
40,10831,0000010,0,0,0,0,0,1,0
40,11104,0000100,0,0,0,0,1,0,0
40,11411,0001000,0,0,0,1,0,0,0
40,11609,1000000,1,0,0,0,0,0,0
40,11945,0100000,0,1,0,0,0,0,0
41,10791,0000001,0,0,0,0,0,0,1
41,11386,0000010,0,0,0,0,0,1,0
41,11664,0000100,0,0,0,0,1,0,0
41,12104,0001000,0,0,0,1,0,0,0
41,12409,1000000,1,0,0,0,0,0,0
41,12727,0100000,0,1,0,0,0,0,0
42,11381,0000001,0,0,0,0,0,0,1
42,11436,0000010,0,0,0,0,0,1,0
42,11803,0000100,0,0,0,0,1,0,0
42,12386,0001000,0,0,0,1,0,0,0
42,12780,1000000,1,0,0,0,0,0,0
42,13054,0100000,0,1,0,0,0,0,0
43,11869,0000001,0,0,0,0,0,0,1
43,11934,0000010,0,0,0,0,0,1,0
43,12257,0000100,0,0,0,0,1,0,0
43,12571,0001000,0,0,0,1,0,0,0
43,12989,1000000,1,0,0,0,0,0,0
43,13100,0100000,0,1,0,0,0,0,0
44,12053,0000001,0,0,0,0,0,0,1
44,12432,0000010,0,0,0,0,0,1,0
44,12872,0001000,0,0,0,1,0,0,0
44,13129,0000100,0,0,0,0,1,0,0
44,13182,0010000,0,0,1,0,0,0,0
44,13460,0100000,0,1,0,0,0,0,0
45,12434,0000001,0,0,0,0,0,0,1
45,13029,0000010,0,0,0,0,0,1,0
45,13541,0001000,0,0,0,1,0,0,0
45,13903,0000100,0,0,0,0,1,0,0
45,14163,0010000,0,0,1,0,0,0,0
45,14521,0100000,0,1,0,0,0,0,0
46,12566,0000001,0,0,0,0,0,0,1
46,12797,0000010,0,0,0,0,0,1,0
46,13174,0001000,0,0,0,1,0,0,0
46,13340,0000100,0,0,0,0,1,0,0
46,13520,0010000,0,0,1,0,0,0,0
46,13630,0100000,0,1,0,0,0,0,0
47,13140,0000001,0,0,0,0,0,0,1
47,13473,0000010,0,0,0,0,0,1,0
47,13564,0001000,0,0,0,1,0,0,0
47,14017,0000100,0,0,0,0,1,0,0
47,14253,0010000,0,0,1,0,0,0,0
47,14745,0100000,0,1,0,0,0,0,0
48,13490,0000001,0,0,0,0,0,0,1
48,14045,0000010,0,0,0,0,0,1,0
48,14566,0001000,0,0,0,1,0,0,0
48,15119,0000100,0,0,0,0,1,0,0
48,15653,0010000,0,0,1,0,0,0,0
48,15924,0100000,0,1,0,0,0,0,0
49,13852,0000001,0,0,0,0,0,0,1
49,14209,0000010,0,0,0,0,0,1,0
49,14767,0001000,0,0,0,1,0,0,0
49,15277,0000100,0,0,0,0,1,0,0
49,15647,0010000,0,0,1,0,0,0,0
49,15932,0100000,0,1,0,0,0,0,0
50,14293,0000001,0,0,0,0,0,0,1
50,14433,0000010,0,0,0,0,0,1,0
50,14454,0001000,0,0,0,1,0,0,0
50,14907,0000100,0,0,0,0,1,0,0
50,15056,0010000,0,0,1,0,0,0,0
50,15183,0100000,0,1,0,0,0,0,0
51,14352,0000001,0,0,0,0,0,0,1
51,14436,0000010,0,0,0,0,0,1,0
51,14586,0001000,0,0,0,1,0,0,0
51,14736,0000100,0,0,0,0,1,0,0
51,15217,0010000,0,0,1,0,0,0,0
51,15333,0100000,0,1,0,0,0,0,0
52,14791,0000001,0,0,0,0,0,0,1
52,15212,0000010,0,0,0,0,0,1,0
52,15653,0001000,0,0,0,1,0,0,0
52,15734,0000100,0,0,0,0,1,0,0
52,15837,0010000,0,0,1,0,0,0,0
52,16023,0100000,0,1,0,0,0,0,0
53,15232,0000001,0,0,0,0,0,0,1
53,15617,0000010,0,0,0,0,0,1,0
53,15899,0001000,0,0,0,1,0,0,0
53,16201,0000100,0,0,0,0,1,0,0
53,16492,0010000,0,0,1,0,0,0,0
53,16617,0100000,0,1,0,0,0,0,0
54,15758,0000001,0,0,0,0,0,0,1
54,16192,0000010,0,0,0,0,0,1,0
54,16402,0001000,0,0,0,1,0,0,0
54,16917,0000100,0,0,0,0,1,0,0
54,16972,0010000,0,0,1,0,0,0,0
54,17117,0100000,0,1,0,0,0,0,0
55,16116,0000001,0,0,0,0,0,0,1
55,16620,0000010,0,0,0,0,0,1,0
55,16675,0001000,0,0,0,1,0,0,0
55,16868,0000100,0,0,0,0,1,0,0
55,16908,0010000,0,0,1,0,0,0,0
55,17011,0100000,0,1,0,0,0,0,0
56,16627,0000001,0,0,0,0,0,0,1
56,16917,0000010,0,0,0,0,0,1,0
56,16983,0001000,0,0,0,1,0,0,0
56,17582,0000100,0,0,0,0,1,0,0
56,18069,1000000,1,0,0,0,0,0,0
56,18243,0100000,0,1,0,0,0,0,0
57,17220,0000001,0,0,0,0,0,0,1
57,17347,0000010,0,0,0,0,0,1,0
57,17934,0001000,0,0,0,1,0,0,0
57,18413,0000100,0,0,0,0,1,0,0
57,18902,1000000,1,0,0,0,0,0,0
57,19405,0100000,0,1,0,0,0,0,0
58,17378,0000001,0,0,0,0,0,0,1
58,17623,0000010,0,0,0,0,0,1,0
58,17886,0001000,0,0,0,1,0,0,0
58,18265,0000100,0,0,0,0,1,0,0
58,18565,1000000,1,0,0,0,0,0,0
58,19087,0100000,0,1,0,0,0,0,0
59,17962,0000001,0,0,0,0,0,0,1
59,18238,0000010,0,0,0,0,0,1,0
59,18763,0001000,0,0,0,1,0,0,0
59,19264,0000100,0,0,0,0,1,0,0
59,19476,1000000,1,0,0,0,0,0,0
59,19894,0100000,0,1,0,0,0,0,0
60,18184,0000001,0,0,0,0,0,0,1
60,18602,0000010,0,0,0,0,0,1,0
60,19072,0001000,0,0,0,1,0,0,0
60,19418,0000100,0,0,0,0,1,0,0
60,19677,1000000,1,0,0,0,0,0,0
60,19902,0100000,0,1,0,0,0,0,0
61,18486,0000001,0,0,0,0,0,0,1
61,18780,0000010,0,0,0,0,0,1,0
61,19182,0001000,0,0,0,1,0,0,0
61,19493,0000100,0,0,0,0,1,0,0
61,19638,1000000,1,0,0,0,0,0,0
61,19702,0100000,0,1,0,0,0,0,0
62,18786,0000001,0,0,0,0,0,0,1
62,19242,0000010,0,0,0,0,0,1,0
62,19485,0001000,0,0,0,1,0,0,0
62,19527,0000100,0,0,0,0,1,0,0
62,19639,1000000,1,0,0,0,0,0,0
62,19977,0100000,0,1,0,0,0,0,0
63,19218,0000001,0,0,0,0,0,0,1
63,19700,0000010,0,0,0,0,0,1,0
63,20109,0001000,0,0,0,1,0,0,0
63,20678,0000100,0,0,0,0,1,0,0
63,20752,1000000,1,0,0,0,0,0,0
63,21211,0100000,0,1,0,0,0,0,0
64,19704,0000001,0,0,0,0,0,0,1
64,20179,0000010,0,0,0,0,0,1,0
64,20396,0001000,0,0,0,1,0,0,0
64,20983,0000100,0,0,0,0,1,0,0
64,21550,1000000,1,0,0,0,0,0,0
64,22123,0100000,0,1,0,0,0,0,0
65,20050,0000001,0,0,0,0,0,0,1
65,20603,0000010,0,0,0,0,0,1,0
65,20616,0001000,0,0,0,1,0,0,0
65,21088,0000100,0,0,0,0,1,0,0
65,21223,1000000,1,0,0,0,0,0,0
65,21511,0100000,0,1,0,0,0,0,0
66,20180,0000001,0,0,0,0,0,0,1
66,20493,0000010,0,0,0,0,0,1,0
66,20815,0001000,0,0,0,1,0,0,0
66,21107,0000100,0,0,0,0,1,0,0
66,21639,1000000,1,0,0,0,0,0,0
66,21987,0100000,0,1,0,0,0,0,0
67,20230,0000001,0,0,0,0,0,0,1
67,20797,0000010,0,0,0,0,0,1,0
67,21292,0001000,0,0,0,1,0,0,0
67,21503,0000100,0,0,0,0,1,0,0
67,21792,1000000,1,0,0,0,0,0,0
67,22258,0100000,0,1,0,0,0,0,0
68,20395,0000001,0,0,0,0,0,0,1
68,20591,0000010,0,0,0,0,0,1,0
68,20932,0001000,0,0,0,1,0,0,0
68,21527,0000100,0,0,0,0,1,0,0
68,21945,1000000,1,0,0,0,0,0,0
68,21985,0100000,0,1,0,0,0,0,0
69,20819,0000001,0,0,0,0,0,0,1
69,21291,0000010,0,0,0,0,0,1,0
69,21760,0001000,0,0,0,1,0,0,0
69,22261,0000100,0,0,0,0,1,0,0
69,22481,1000000,1,0,0,0,0,0,0
69,22903,0100000,0,1,0,0,0,0,0
70,21362,0000001,0,0,0,0,0,0,1
70,21786,0000010,0,0,0,0,0,1,0
70,21876,0001000,0,0,0,1,0,0,0
70,22092,0000100,0,0,0,0,1,0,0
70,22146,1000000,1,0,0,0,0,0,0
70,22717,0100000,0,1,0,0,0,0,0
71,21409,0000001,0,0,0,0,0,0,1
71,21528,0000010,0,0,0,0,0,1,0
71,21804,0001000,0,0,0,1,0,0,0
71,21878,0000100,0,0,0,0,1,0,0
71,22118,1000000,1,0,0,0,0,0,0
71,22638,0100000,0,1,0,0,0,0,0
72,21866,0000001,0,0,0,0,0,0,1
72,22276,0000010,0,0,0,0,0,1,0
72,22808,0001000,0,0,0,1,0,0,0
72,22917,0000100,0,0,0,0,1,0,0
72,22958,1000000,1,0,0,0,0,0,0
72,23388,0100000,0,1,0,0,0,0,0
73,22437,0000001,0,0,0,0,0,0,1
73,22584,0000010,0,0,0,0,0,1,0
73,22639,0001000,0,0,0,1,0,0,0
73,22816,0000100,0,0,0,0,1,0,0
73,22817,1000000,1,0,0,0,0,0,0
73,23385,0100000,0,1,0,0,0,0,0
74,22764,0000001,0,0,0,0,0,0,1
74,23299,0000010,0,0,0,0,0,1,0
74,23591,0001000,0,0,0,1,0,0,0
74,23663,0000100,0,0,0,0,1,0,0
74,24166,1000000,1,0,0,0,0,0,0
74,24628,0100000,0,1,0,0,0,0,0
75,23194,0000001,0,0,0,0,0,0,1
75,23792,0000010,0,0,0,0,0,1,0
75,24078,0001000,0,0,0,1,0,0,0
75,24083,0000100,0,0,0,0,1,0,0
75,24607,1000000,1,0,0,0,0,0,0
75,24863,0100000,0,1,0,0,0,0,0
76,23310,0000001,0,0,0,0,0,0,1
76,23691,0000010,0,0,0,0,0,1,0
76,23713,0001000,0,0,0,1,0,0,0
76,23946,0000100,0,0,0,0,1,0,0
76,23949,1000000,1,0,0,0,0,0,0
76,24305,0100000,0,1,0,0,0,0,0
77,23502,0000001,0,0,0,0,0,0,1
77,24089,0000010,0,0,0,0,0,1,0
77,24571,0001000,0,0,0,1,0,0,0
77,24880,0000100,0,0,0,0,1,0,0
77,24972,1000000,1,0,0,0,0,0,0
77,25347,0100000,0,1,0,0,0,0,0
78,24071,0000001,0,0,0,0,0,0,1
78,24093,0000010,0,0,0,0,0,1,0
78,24305,0001000,0,0,0,1,0,0,0
78,24894,0000100,0,0,0,0,1,0,0
78,25246,1000000,1,0,0,0,0,0,0
78,25350,0100000,0,1,0,0,0,0,0
79,24144,0000001,0,0,0,0,0,0,1
79,24255,0000010,0,0,0,0,0,1,0
79,24753,0001000,0,0,0,1,0,0,0
79,24979,0000100,0,0,0,0,1,0,0
79,25147,1000000,1,0,0,0,0,0,0
79,25360,0100000,0,1,0,0,0,0,0
80,24275,0000001,0,0,0,0,0,0,1
80,24648,0000010,0,0,0,0,0,1,0
80,24925,0001000,0,0,0,1,0,0,0
80,25170,0000100,0,0,0,0,1,0,0
80,25180,1000000,1,0,0,0,0,0,0
80,25475,0100000,0,1,0,0,0,0,0
81,24348,0000001,0,0,0,0,0,0,1
81,24491,0000010,0,0,0,0,0,1,0
81,24663,0001000,0,0,0,1,0,0,0
81,24720,0000100,0,0,0,0,1,0,0
81,24824,1000000,1,0,0,0,0,0,0
81,25423,0100000,0,1,0,0,0,0,0
82,24850,0000001,0,0,0,0,0,0,1
82,25068,0000010,0,0,0,0,0,1,0
82,25581,0000100,0,0,0,0,1,0,0
82,26127,1000000,1,0,0,0,0,0,0
82,26508,0100000,0,1,0,0,0,0,0
83,25235,0000001,0,0,0,0,0,0,1
83,25257,0000010,0,0,0,0,0,1,0
83,25397,0000100,0,0,0,0,1,0,0
83,25592,1000000,1,0,0,0,0,0,0
83,25670,0100000,0,1,0,0,0,0,0
84,25542,0000001,0,0,0,0,0,0,1
84,25868,0000010,0,0,0,0,0,1,0
84,26442,0000100,0,0,0,0,1,0,0
84,26621,1000000,1,0,0,0,0,0,0
84,26626,0100000,0,1,0,0,0,0,0
85,26099,0000001,0,0,0,0,0,0,1
85,26155,0000010,0,0,0,0,0,1,0
85,26744,0000100,0,0,0,0,1,0,0
85,26843,1000000,1,0,0,0,0,0,0
85,27232,0100000,0,1,0,0,0,0,0
86,26531,0000001,0,0,0,0,0,0,1
86,26706,0000010,0,0,0,0,0,1,0
86,27241,0000100,0,0,0,0,1,0,0
86,27500,1000000,1,0,0,0,0,0,0
86,28029,0100000,0,1,0,0,0,0,0
87,26536,0000001,0,0,0,0,0,0,1
87,27022,0000010,0,0,0,0,0,1,0
87,27274,0000100,0,0,0,0,1,0,0
87,27521,1000000,1,0,0,0,0,0,0
87,27770,0100000,0,1,0,0,0,0,0
88,26760,0000001,0,0,0,0,0,0,1
88,27061,0000010,0,0,0,0,0,1,0
88,27343,0000100,0,0,0,0,1,0,0
88,27580,1000000,1,0,0,0,0,0,0
88,27844,0100000,0,1,0,0,0,0,0
89,26992,0000001,0,0,0,0,0,0,1
89,27336,0000010,0,0,0,0,0,1,0
89,27709,0000100,0,0,0,0,1,0,0
89,28191,1000000,1,0,0,0,0,0,0
89,28457,0100000,0,1,0,0,0,0,0
90,27572,0000001,0,0,0,0,0,0,1
90,27821,0000100,0,0,0,0,1,0,0
90,28115,0000010,0,0,0,0,0,1,0
90,28357,0010000,0,0,1,0,0,0,0
90,28814,0100000,0,1,0,0,0,0,0
91,27727,0000001,0,0,0,0,0,0,1
91,28085,0001000,0,0,0,1,0,0,0
91,28625,0000010,0,0,0,0,0,1,0
91,29058,0000100,0,0,0,0,1,0,0
91,29303,1000000,1,0,0,0,0,0,0
91,29634,0100000,0,1,0,0,0,0,0
92,28177,0000001,0,0,0,0,0,0,1
92,28364,0001000,0,0,0,1,0,0,0
92,28449,0000010,0,0,0,0,0,1,0
92,28937,0000100,0,0,0,0,1,0,0
92,29220,0010000,0,0,1,0,0,0,0
92,29341,0100000,0,1,0,0,0,0,0
93,28482,0000001,0,0,0,0,0,0,1
93,28658,0001000,0,0,0,1,0,0,0
93,28983,0000100,0,0,0,0,1,0,0
93,29575,0000010,0,0,0,0,0,1,0
93,29707,1000000,1,0,0,0,0,0,0
93,29778,0100000,0,1,0,0,0,0,0
94,28796,0000001,0,0,0,0,0,0,1
94,29117,0001000,0,0,0,1,0,0,0
94,29584,0000100,0,0,0,0,1,0,0
94,29882,0000010,0,0,0,0,0,1,0
94,30334,1000000,1,0,0,0,0,0,0
94,30345,0100000,0,1,0,0,0,0,0
95,28850,0000001,0,0,0,0,0,0,1
95,29241,0001000,0,0,0,1,0,0,0
95,29317,0000100,0,0,0,0,1,0,0
95,29372,0000010,0,0,0,0,0,1,0
95,29418,1000000,1,0,0,0,0,0,0
95,29466,0100000,0,1,0,0,0,0,0
96,29060,0000001,0,0,0,0,0,0,1
96,29322,0001000,0,0,0,1,0,0,0
96,29827,0000100,0,0,0,0,1,0,0
96,30353,0000010,0,0,0,0,0,1,0
96,30463,1000000,1,0,0,0,0,0,0
96,30468,0100000,0,1,0,0,0,0,0
97,29377,0000001,0,0,0,0,0,0,1
97,29744,0000100,0,0,0,0,1,0,0
97,29975,0001000,0,0,0,1,0,0,0
97,30337,0000010,0,0,0,0,0,1,0
97,30916,1000000,1,0,0,0,0,0,0
97,31414,0100000,0,1,0,0,0,0,0
98,29686,0000001,0,0,0,0,0,0,1
98,30063,0000100,0,0,0,0,1,0,0
98,30368,0001000,0,0,0,1,0,0,0
98,30547,0000010,0,0,0,0,0,1,0
98,30955,1000000,1,0,0,0,0,0,0
98,31365,0100000,0,1,0,0,0,0,0
99,30120,0000001,0,0,0,0,0,0,1
99,30665,0000100,0,0,0,0,1,0,0
99,31211,0000010,0,0,0,0,0,1,0
99,31377,1000000,1,0,0,0,0,0,0
99,31652,0100000,0,1,0,0,0,0,0
